"Hospital.Name","Provider.ID","Address","City","State","ZIP.Code","Full","lon","lat"
"TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN",450292,"850 ED HALL","KAUFMAN","TX",75142,"850 ED HALL, KAUFMAN, TX, 75142, USA",-86.801871,33.506161
"TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL",450351,"411 N BELKNAP ST","STEPHENVILLE","TX",76401,"411 N BELKNAP ST, STEPHENVILLE, TX, 76401, USA",-86.801871,33.506161
"MEMORIAL MEDICAL CENTER LIVINGSTON",450395,"1717 HWY 59 BYPASS","LIVINGSTON","TX",77351,"1717 HWY 59 BYPASS, LIVINGSTON, TX, 77351, USA",-86.801871,33.506161
"TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE",450419,"108 DENVER TRAIL","AZLE","TX",76020,"108 DENVER TRAIL, AZLE, TX, 76020, USA",-86.801871,33.506161
"MATAGORDA REGIONAL MEDICAL CENTER",450465,"104 7TH STREET","BAY CITY","TX",77414,"104 7TH STREET, BAY CITY, TX, 77414, USA",-86.801871,33.506161
"COVENANT HOSPITAL PLAINVIEW",450539,"2601 DIMMITT RD","PLAINVIEW","TX",79072,"2601 DIMMITT RD, PLAINVIEW, TX, 79072, USA",-86.801871,33.506161
"CHRISTUS JASPER MEMORIAL HOSPITAL",450573,"1275 MARVIN HANCOCK DRIVE","JASPER","TX",75951,"1275 MARVIN HANCOCK DRIVE, JASPER, TX, 75951, USA",-86.801871,33.506161
"CARE REGIONAL MEDICAL CENTER",450605,"1711 W WHEELER AVENUE","ARANSAS PASS","TX",78336,"1711 W WHEELER AVENUE, ARANSAS PASS, TX, 78336, USA",-86.801871,33.506161
"PARK PLAZA HOSPITAL",450659,"1313 HERMANN DR","HOUSTON","TX",77004,"1313 HERMANN DR, HOUSTON, TX, 77004, USA",-86.801871,33.506161
"PALESTINE REGIONAL MEDICAL CENTER",450747,"2900 S LOOP 256","PALESTINE","TX",75801,"2900 S LOOP 256, PALESTINE, TX, 75801, USA",-86.801871,33.506161
"AMERICAN FORK HOSPITAL",460023,"170 NORTH 1100 EAST","AMERICAN FORK","UT",84003,"170 NORTH 1100 EAST, AMERICAN FORK, UT, 84003, USA",-86.801871,33.506161
"ALTA VIEW HOSPITAL",460044,"9660 SOUTH 1300 EAST","SANDY","UT",84094,"9660 SOUTH 1300 EAST, SANDY, UT, 84094, USA",-86.801871,33.506161
"TIMPANOGOS REGIONAL HOSPITAL",460052,"750 WEST 800 NORTH","OREM","UT",84057,"750 WEST 800 NORTH, OREM, UT, 84057, USA",-86.801871,33.506161
"RIVERTON HOSPITAL",460058,"3741 WEST 12600 SOUTH","RIVERTON","UT",84065,"3741 WEST 12600 SOUTH, RIVERTON, UT, 84065, USA",-86.801871,33.506161
"LONE PEAK HOSPITAL",460060,"11925 S STATE STREET","DRAPER","UT",84020,"11925 S STATE STREET, DRAPER, UT, 84020, USA",-86.801871,33.506161
"RUSSELL COUNTY MEDICAL CENTER",490002,"58 CARROLL STREET","LEBANON","VA",24266,"58 CARROLL STREET, LEBANON, VA, 24266, USA",-86.801871,33.506161
"WARREN MEMORIAL HOSPITAL",490033,"1000 NORTH SHENANDOAH AVE","FRONT ROYAL","VA",22630,"1000 NORTH SHENANDOAH AVE, FRONT ROYAL, VA, 22630, USA",-86.801871,33.506161
"WYTHE COUNTY COMMUNITY HOSPITAL",490111,"600 WEST RIDGE ROAD","WYTHEVILLE","VA",24382,"600 WEST RIDGE ROAD, WYTHEVILLE, VA, 24382, USA",-86.801871,33.506161
"CARILION TAZEWELL COMMUNITY HOSPITAL",490117,"388 BEN BOLT AVENUE","TAZEWELL","VA",24651,"388 BEN BOLT AVENUE, TAZEWELL, VA, 24651, USA",-86.801871,33.506161
"PLEASANT VALLEY HOSPITAL",510012,"2520 VALLEY DRIVE","POINT PLEASANT","WV",25550,"2520 VALLEY DRIVE, POINT PLEASANT, WV, 25550, USA",-86.801871,33.506161
"ST FRANCIS HOSPITAL",510031,"333 LAIDLEY ST","CHARLESTON","WV",25301,"333 LAIDLEY ST, CHARLESTON, WV, 25301, USA",-86.801871,33.506161
"WETZEL COUNTY HOSPITAL",510072,"#3 EAST BENJAMIN DRIVE","NEW MARTINSVILLE","WV",26155,"#3 EAST BENJAMIN DRIVE, NEW MARTINSVILLE, WV, 26155, USA",-86.801871,33.506161
"LAKEVIEW MEDICAL CENTER",520011,"1700 WEST STOUT STREET","RICE LAKE","WI",54868,"1700 WEST STOUT STREET, RICE LAKE, WI, 54868, USA",-86.801871,33.506161
"ST JOSEPHS HOSPITAL",520017,"2661 COUNTY HWY I","CHIPPEWA FALLS","WI",54729,"2661 COUNTY HWY I, CHIPPEWA FALLS, WI, 54729, USA",-86.801871,33.506161
"AURORA SHEBOYGAN MEMORIAL MEDICAL CTR",520035,"2629 N 7TH ST","SHEBOYGAN","WI",53083,"2629 N 7TH ST, SHEBOYGAN, WI, 53083, USA",-86.801871,33.506161
"ST NICHOLAS HOSPITAL",520044,"3100 SUPERIOR AVE","SHEBOYGAN","WI",53081,"3100 SUPERIOR AVE, SHEBOYGAN, WI, 53081, USA",-86.801871,33.506161
"BEAVER DAM COMMUNITY HOSPITAL",520076,"707 S UNIVERSITY AVE","BEAVER DAM","WI",53916,"707 S UNIVERSITY AVE, BEAVER DAM, WI, 53916, USA",-86.801871,33.506161
"AURORA LAKELAND MEDICAL CENTER",520102,"W3985 COUNTY ROAD NN","ELKHORN","WI",53121,"W3985 COUNTY ROAD NN, ELKHORN, WI, 53121, USA",-86.801871,33.506161
"MILE BLUFF MEDICAL CENTER",520109,"1050 DIVISION ST","MAUSTON","WI",53948,"1050 DIVISION ST, MAUSTON, WI, 53948, USA",-86.801871,33.506161
"WATERTOWN REGIONAL MEDICAL CENTER",520116,"125 HOSPITAL DRIVE","WATERTOWN","WI",53098,"125 HOSPITAL DRIVE, WATERTOWN, WI, 53098, USA",-86.801871,33.506161
"WHEATON FRANCISCAN HEALTHCARE FRANKLIN",520204,"10101 SOUTH 27TH ST","FRANKLIN","WI",53132,"10101 SOUTH 27TH ST, FRANKLIN, WI, 53132, USA",-86.801871,33.506161
"CAMPBELL COUNTY MEMORIAL HOSPITAL",530002,"501 SOUTH BURMA AVENUE","GILLETTE","WY",82716,"501 SOUTH BURMA AVENUE, GILLETTE, WY, 82716, USA",-86.801871,33.506161
"TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE",670085,"10864 TEXAS HEALTH TRAIL","FORT WORTH","TX",76244,"10864 TEXAS HEALTH TRAIL, FORT WORTH, TX, 76244, USA",-86.801871,33.506161
"MIZELL MEMORIAL HOSPITAL",10007,"702 N MAIN ST","OPP","AL",36467,"702 N MAIN ST, OPP, AL, 36467, USA",-86.801871,33.506161
"COMMUNITY HOSPITAL INC",10034,"805 FRIENDSHIP ROAD","TALLASSEE","AL",36078,"805 FRIENDSHIP ROAD, TALLASSEE, AL, 36078, USA",-86.801871,33.506161
"STRINGFELLOW MEMORIAL HOSPITAL",10038,"301 EAST 18TH ST","ANNISTON","AL",36201,"301 EAST 18TH ST, ANNISTON, AL, 36201, USA",-86.801871,33.506161
"MARION REGIONAL MEDICAL CENTER",10044,"1256 MILITARY STREET SOUTH","HAMILTON","AL",35570,"1256 MILITARY STREET SOUTH, HAMILTON, AL, 35570, USA",-86.801871,33.506161
"LAWRENCE MEDICAL CENTER",10059,"202 HOSPITAL STREET","MOULTON","AL",35650,"202 HOSPITAL STREET, MOULTON, AL, 35650, USA",-86.801871,33.506161
"WIREGRASS MEDICAL CENTER",10062,"1200 W MAPLE AVENUE","GENEVA","AL",36340,"1200 W MAPLE AVENUE, GENEVA, AL, 36340, USA",-86.801871,33.506161
"MEDICAL CENTER BARBOUR",10069,"820 W WASHINGTON ST","EUFAULA","AL",36027,"820 W WASHINGTON ST, EUFAULA, AL, 36027, USA",-86.801871,33.506161
"ST VINCENT'S ST CLAIR",10130,"7063 VETERANS PARKWAY","PELL CITY","AL",35125,"7063 VETERANS PARKWAY, PELL CITY, AL, 35125, USA",-86.801871,33.506161
"RUSSELLVILLE HOSPITAL",10158,"15155 HIGHWAY 43","RUSSELLVILLE","AL",35653,"15155 HIGHWAY 43, RUSSELLVILLE, AL, 35653, USA",-86.801871,33.506161
"VALLEY VIEW MEDICAL CENTER",30117,"5330 SOUTH HIGHWAY 95","FORT MOHAVE","AZ",86426,"5330 SOUTH HIGHWAY 95, FORT MOHAVE, AZ, 86426, USA",-86.801871,33.506161
"BANNER IRONWOOD MEDICAL CENTER",30130,"37000 NORTH GANTZEL ROAD","QUEEN CREEK","AZ",85140,"37000 NORTH GANTZEL ROAD, QUEEN CREEK, AZ, 85140, USA",-86.801871,33.506161
"JOHNSON REGIONAL MEDICAL CENTER",40002,"1100 EAST POPLAR STREET","CLARKSVILLE","AR",72830,"1100 EAST POPLAR STREET, CLARKSVILLE, AR, 72830, USA",-86.801871,33.506161
"MENA REGIONAL HEALTH SYSTEM",40015,"311 NORTH MORROW STREET","MENA","AR",71953,"311 NORTH MORROW STREET, MENA, AR, 71953, USA",-86.801871,33.506161
"BAPTIST HEALTH MEDICAL CENTER-STUTTGART",40072,"1703 NORTH BUERKLE ST","STUTTGART","AR",72160,"1703 NORTH BUERKLE ST, STUTTGART, AR, 72160, USA",-86.801871,33.506161
"HELENA REGIONAL MEDICAL CENTER",40085,"1801 MARTIN LUTHER KING JR DRIVE","HELENA","AR",72342,"1801 MARTIN LUTHER KING JR DRIVE, HELENA, AR, 72342, USA",-86.801871,33.506161
"MAD RIVER COMMUNITY HOSPITAL",50028,"3800 JANES RD","ARCATA","CA",95521,"3800 JANES RD, ARCATA, CA, 95521, USA",-86.801871,33.506161
"SAN GORGONIO MEMORIAL HOSPITAL",50054,"600 NORTH HIGHLAND SPRINGS AVENUE","BANNING","CA",92220,"600 NORTH HIGHLAND SPRINGS AVENUE, BANNING, CA, 92220, USA",-86.801871,33.506161
"WEST COVINA MEDICAL CENTER, INC",50096,"725 S ORANGE AVE","WEST COVINA","CA",91790,"725 S ORANGE AVE, WEST COVINA, CA, 91790, USA",-86.801871,33.506161
"GOOD SAMARITAN HOSPITAL",50257,"901 OLIVE DRIVE","BAKERSFIELD","CA",93308,"901 OLIVE DRIVE, BAKERSFIELD, CA, 93308, USA",-86.801871,33.506161
"HI-DESERT MEDICAL CENTER",50279,"6601 WHITE FEATHER ROAD","JOSHUA TREE","CA",92252,"6601 WHITE FEATHER ROAD, JOSHUA TREE, CA, 92252, USA",-86.801871,33.506161
"BARSTOW COMMUNITY HOSPITAL",50298,"820 E MOUNTAIN VIEW STREET","BARSTOW","CA",92311,"820 E MOUNTAIN VIEW STREET, BARSTOW, CA, 92311, USA",-86.801871,33.506161
"CHINESE HOSPITAL",50407,"845 JACKSON ST","SAN FRANCISCO","CA",94133,"845 JACKSON ST, SAN FRANCISCO, CA, 94133, USA",-86.801871,33.506161
"VICTOR VALLEY GLOBAL MEDICAL CENTER",50517,"15248 11TH ST","VICTORVILLE","CA",92392,"15248 11TH ST, VICTORVILLE, CA, 92392, USA",-86.801871,33.506161
"MADERA COMMUNITY HOSPITAL",50568,"1250 E ALMOND AVE","MADERA","CA",93637,"1250 E ALMOND AVE, MADERA, CA, 93637, USA",-86.801871,33.506161
"EAST LOS ANGELES DOCTORS HOSPITAL",50641,"4060 WHITTIER BLVD","LOS ANGELES","CA",90023,"4060 WHITTIER BLVD, LOS ANGELES, CA, 90023, USA",-86.801871,33.506161
"COLLEGE MEDICAL CENTER",50776,"2776 PACIFIC AVENUE","LONG BEACH","CA",90806,"2776 PACIFIC AVENUE, LONG BEACH, CA, 90806, USA",-86.801871,33.506161
"JAY HOSPITAL",100048,"14114 ALABAMA ST","JAY","FL",32565,"14114 ALABAMA ST, JAY, FL, 32565, USA",-86.801871,33.506161
"TWIN CITIES HOSPITAL",100054,"2190 HWY 85 N","NICEVILLE","FL",32578,"2190 HWY 85 N, NICEVILLE, FL, 32578, USA",-86.801871,33.506161
"STEWARD MELBOURNE HOSPITAL",100291,"250 NORTH WICKHAM ROAD","MELBOURNE","FL",32935,"250 NORTH WICKHAM ROAD, MELBOURNE, FL, 32935, USA",-86.801871,33.506161
"POINCIANA MEDICAL CENTER",100320,"325 CYPRESS PKWY","KISSIMMEE","FL",34758,"325 CYPRESS PKWY, KISSIMMEE, FL, 34758, USA",-86.801871,33.506161
"NORTHRIDGE MEDICAL CENTER",110040,"70 MEDICAL CENTER DRIVE","COMMERCE","GA",30529,"70 MEDICAL CENTER DRIVE, COMMERCE, GA, 30529, USA",-86.801871,33.506161
"NORTHEAST GEORGIA MEDICAL CENTER BARROW",110045,"316 NORTH BROAD STREET","WINDER","GA",30680,"316 NORTH BROAD STREET, WINDER, GA, 30680, USA",-86.801871,33.506161
"APPLING HOSPITAL",110071,"163 E TOLLISON STREET","BAXLEY","GA",31513,"163 E TOLLISON STREET, BAXLEY, GA, 31513, USA",-86.801871,33.506161
"EMANUEL MEDICAL CENTER",110109,"117 KITE ROAD","SWAINSBORO","GA",30401,"117 KITE ROAD, SWAINSBORO, GA, 30401, USA",-86.801871,33.506161
"SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS",110146,"2000 DAN PROCTOR DRIVE","SAINT MARYS","GA",31558,"2000 DAN PROCTOR DRIVE, SAINT MARYS, GA, 31558, USA",-86.801871,33.506161
"COLISEUM NORTHSIDE HOSPITAL",110201,"400 CHARTER BOULEVARD","MACON","GA",31210,"400 CHARTER BOULEVARD, MACON, GA, 31210, USA",-86.801871,33.506161
"LORETTO HOSPITAL",140083,"645 SOUTH CENTRAL AVE","CHICAGO","IL",60644,"645 SOUTH CENTRAL AVE, CHICAGO, IL, 60644, USA",-86.801871,33.506161
"SAINT ANTHONY HOSPITAL",140095,"2875 WEST 19TH STREET","CHICAGO","IL",60623,"2875 WEST 19TH STREET, CHICAGO, IL, 60623, USA",-86.801871,33.506161
"THOREK MEMORIAL HOSPITAL",140115,"850 W IRVING PARK RD","CHICAGO","IL",60613,"850 W IRVING PARK RD, CHICAGO, IL, 60613, USA",-86.801871,33.506161
"GREENVILLE REGIONAL HOSPITAL",140137,"200 HEALTHCARE DR","GREENVILLE","IL",62246,"200 HEALTHCARE DR, GREENVILLE, IL, 62246, USA",-86.801871,33.506161
"METHODIST HOSPITAL OF CHICAGO",140197,"5025 N PAULINA STREET","CHICAGO","IL",60640,"5025 N PAULINA STREET, CHICAGO, IL, 60640, USA",-86.801871,33.506161
"BLUFFTON REGIONAL MEDICAL CENTER",150075,"303 S MAIN ST","BLUFFTON","IN",46714,"303 S MAIN ST, BLUFFTON, IN, 46714, USA",-86.801871,33.506161
"PARKVIEW HUNTINGTON HOSPITAL",150091,"2001 STULTS RD","HUNTINGTON","IN",46750,"2001 STULTS RD, HUNTINGTON, IN, 46750, USA",-86.801871,33.506161
"PARKVIEW WHITLEY HOSPITAL",150101,"1260 E SR 205","COLUMBIA CITY","IN",46725,"1260 E SR 205, COLUMBIA CITY, IN, 46725, USA",-86.801871,33.506161
"ST ANTHONY REGIONAL HOSPITAL & NURSING HOME",160005,"311 SOUTH CLARK STREET","CARROLL","IA",51401,"311 SOUTH CLARK STREET, CARROLL, IA, 51401, USA",-86.801871,33.506161
"SAINT LUKE'S CUSHING HOSPITAL",170133,"711 MARSHALL STREET","LEAVENWORTH","KS",66048,"711 MARSHALL STREET, LEAVENWORTH, KS, 66048, USA",-86.801871,33.506161
"SPRING VIEW HOSPITAL",180024,"320 LORETTO ROAD","LEBANON","KY",40033,"320 LORETTO ROAD, LEBANON, KY, 40033, USA",-86.801871,33.506161
"FLEMING COUNTY HOSPITAL",180053,"55 FOUNDATION DRIVE","FLEMINGSBURG","KY",41041,"55 FOUNDATION DRIVE, FLEMINGSBURG, KY, 41041, USA",-86.801871,33.506161
"MONROE COUNTY MEDICAL CENTER",180105,"529 CAPP HARLAN ROAD","TOMPKINSVILLE","KY",42167,"529 CAPP HARLAN ROAD, TOMPKINSVILLE, KY, 42167, USA",-86.801871,33.506161
"THE MEDICAL CENTER AT ALBANY",180106,"723 BURKESVILLE ROAD","ALBANY","KY",42602,"723 BURKESVILLE ROAD, ALBANY, KY, 42602, USA",-86.801871,33.506161
"WEST CARROLL MEMORIAL HOSPITAL",190081,"706 ROSS STREET","OAK GROVE","LA",71263,"706 ROSS STREET, OAK GROVE, LA, 71263, USA",-86.801871,33.506161
"SPRINGHILL MEDICAL CENTER",190088,"2001 DOCTORS DRIVE","SPRINGHILL","LA",71075,"2001 DOCTORS DRIVE, SPRINGHILL, LA, 71075, USA",-86.801871,33.506161
"OAKDALE COMMUNITY HOSPITAL",190106,"130 N HOSPITAL DR","OAKDALE","LA",71463,"130 N HOSPITAL DR, OAKDALE, LA, 71463, USA",-86.801871,33.506161
"FRANKLIN MEDICAL CENTER",190140,"2106 LOOP ROAD","WINNSBORO","LA",71295,"2106 LOOP ROAD, WINNSBORO, LA, 71295, USA",-86.801871,33.506161
"CALDWELL MEMORIAL HOSPITAL, INC",190190,"411 MAIN STREET","COLUMBIA","LA",71418,"411 MAIN STREET, COLUMBIA, LA, 71418, USA",-86.801871,33.506161
"ST BERNARD PARISH HOSPITAL",190308,"8000 WEST JUDGE PEREZ DRIVE","CHALMETTE","LA",70043,"8000 WEST JUDGE PEREZ DRIVE, CHALMETTE, LA, 70043, USA",-86.801871,33.506161
"OUR LADY OF THE ANGELS HOSPITAL",190312,"433 PLAZA STREET","BOGALUSA","LA",70427,"433 PLAZA STREET, BOGALUSA, LA, 70427, USA",-86.801871,33.506161
"BON SECOURS HOSPITAL",210013,"2000 W BALTIMORE STREET","BALTIMORE","MD",21223,"2000 W BALTIMORE STREET, BALTIMORE, MD, 21223, USA",-86.801871,33.506161
"CLINTON HOSPITAL ASSOCIATION",220058,"201 HIGHLAND STREET","CLINTON","MA",1510,"201 HIGHLAND STREET, CLINTON, MA, 1510, USA",-71.693243,42.427006
"THREE RIVERS HEALTH",230015,"701 S HEALTH PARKWAY","THREE RIVERS","MI",49093,"701 S HEALTH PARKWAY, THREE RIVERS, MI, 49093, USA",-86.801871,33.506161
"HILLSDALE HOSPITAL",230037,"168 S HOWELL STREET","HILLSDALE","MI",49242,"168 S HOWELL STREET, HILLSDALE, MI, 49242, USA",-86.801871,33.506161
"STURGIS HOSPITAL",230096,"916 MYRTLE AVE","STURGIS","MI",49091,"916 MYRTLE AVE, STURGIS, MI, 49091, USA",-86.801871,33.506161
"NORTHFIELD HOSPITAL",240014,"2000 NORTH AVENUE","NORTHFIELD","MN",55057,"2000 NORTH AVENUE, NORTHFIELD, MN, 55057, USA",-86.801871,33.506161
"GEORGE REGIONAL HEALTH SYSTEM",250036,"859 WINTER STREET","LUCEDALE","MS",39452,"859 WINTER STREET, LUCEDALE, MS, 39452, USA",-86.801871,33.506161
"YALOBUSHA GENERAL HOSPITAL",250061,"630 SOUTH MAIN STREET","WATER VALLEY","MS",38965,"630 SOUTH MAIN STREET, WATER VALLEY, MS, 38965, USA",-86.801871,33.506161
"MARION GENERAL HOSPITAL",250085,"1560 SUMRALL RD","COLUMBIA","MS",39429,"1560 SUMRALL RD, COLUMBIA, MS, 39429, USA",-86.801871,33.506161
"MAGEE GENERAL HOSPITAL",250124,"300 3RD AVE SE","MAGEE","MS",39111,"300 3RD AVE SE, MAGEE, MS, 39111, USA",-86.801871,33.506161
"NORTH OAK REGIONAL MEDICAL CENTER",250126,"401 GETWELL DR","SENATOBIA","MS",38668,"401 GETWELL DR, SENATOBIA, MS, 38668, USA",-86.801871,33.506161
"PEMISCOT COUNTY MEMORIAL HOSPITAL",260070,"946 EAST REED","HAYTI","MO",63851,"946 EAST REED, HAYTI, MO, 63851, USA",-86.801871,33.506161
"FITZGIBBON HOSPITAL",260142,"2305 S 65 HIGHWAY","MARSHALL","MO",65340,"2305 S 65 HIGHWAY, MARSHALL, MO, 65340, USA",-86.801871,33.506161
"SOUTHEASTHEALTH CENTER OF STODDARD COUNTY",260160,"1200 N ONE MILE RD","DEXTER","MO",63841,"1200 N ONE MILE RD, DEXTER, MO, 63841, USA",-86.801871,33.506161
"KEARNEY REGIONAL MEDICAL CENTER",280134,"804 22ND AVENUE","KEARNEY","NE",68845,"804 22ND AVENUE, KEARNEY, NE, 68845, USA",-86.801871,33.506161
"MEADOWLANDS HOSPITAL MEDICAL CENTER",310118,"55 MEADOWLANDS PKWY","SECAUCUS","NJ",7094,"55 MEADOWLANDS PKWY, SECAUCUS, NJ, 7094, USA",-74.076274,40.784818
"SAN MIGUEL CORP D/B/A ALTA VISTA REGIONAL HOSPITAL",320003,"104 LEGION DRIVE","LAS VEGAS","NM",87701,"104 LEGION DRIVE, LAS VEGAS, NM, 87701, USA",-86.801871,33.506161
"GILA REGIONAL MEDICAL CENTER",320016,"1313 E 32ND ST","SILVER CITY","NM",88061,"1313 E 32ND ST, SILVER CITY, NM, 88061, USA",-86.801871,33.506161
"LOS ALAMOS MEDICAL CENTER",320033,"3917 WEST ROAD","LOS ALAMOS","NM",87544,"3917 WEST ROAD, LOS ALAMOS, NM, 87544, USA",-86.801871,33.506161
"ROOSEVELT GENERAL HOSPITAL",320084,"42121 US HIGHWAY 70","PORTALES","NM",88130,"42121 US HIGHWAY 70, PORTALES, NM, 88130, USA",-86.801871,33.506161
"LOVELACE REGIONAL HOSPITAL - ROSWELL",320086,"117 EAST 19TH STREET","ROSWELL","NM",88201,"117 EAST 19TH STREET, ROSWELL, NM, 88201, USA",-86.801871,33.506161
"CHENANGO MEMORIAL HOSPITAL, INC",330033,"179 NORTH BROAD STREET","NORWICH","NY",13815,"179 NORTH BROAD STREET, NORWICH, NY, 13815, USA",-86.801871,33.506161
"BON SECOURS COMMUNITY HOSPITAL",330135,"160 EAST MAIN STREET","PORT JERVIS","NY",12771,"160 EAST MAIN STREET, PORT JERVIS, NY, 12771, USA",-86.801871,33.506161
"ST ANTHONY COMMUNITY HOSPITAL",330205,"15 - 19  MAPLE AVENUE","WARWICK","NY",10990,"15 - 19  MAPLE AVENUE, WARWICK, NY, 10990, USA",-86.801871,33.506161
"BROOKS MEMORIAL HOSPITAL",330229,"529 CENTRAL AVENUE","DUNKIRK","NY",14048,"529 CENTRAL AVENUE, DUNKIRK, NY, 14048, USA",-86.801871,33.506161
"SANDHILLS REGIONAL MEDICAL CENTER",340106,"1000 WEST HAMLET AVENUE","HAMLET","NC",28345,"1000 WEST HAMLET AVENUE, HAMLET, NC, 28345, USA",-86.801871,33.506161
"ST VINCENT CHARITY MEDICAL CENTER",360037,"2351 EAST 22ND STREET","CLEVELAND","OH",44115,"2351 EAST 22ND STREET, CLEVELAND, OH, 44115, USA",-86.801871,33.506161
"MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL",360058,"800 WEST MAIN STREET","COLDWATER","OH",45828,"800 WEST MAIN STREET, COLDWATER, OH, 45828, USA",-86.801871,33.506161
"LUTHERAN HOSPITAL",360087,"1730 WEST 25TH STREET","CLEVELAND","OH",44113,"1730 WEST 25TH STREET, CLEVELAND, OH, 44113, USA",-86.801871,33.506161
"BELLEVUE HOSPITAL",360107,"1400 WEST MAIN STREET","BELLEVUE","OH",44811,"1400 WEST MAIN STREET, BELLEVUE, OH, 44811, USA",-86.801871,33.506161
"COMMUNITY HOSPITALS AND WELLNESS CENTERS",360121,"433 WEST HIGH STREET","BRYAN","OH",43506,"433 WEST HIGH STREET, BRYAN, OH, 43506, USA",-86.801871,33.506161
"MADISON COUNTY HOSPITAL INC",360189,"210 NORTH MAIN STREET","LONDON","OH",43140,"210 NORTH MAIN STREET, LONDON, OH, 43140, USA",-86.801871,33.506161
"DUBLIN METHODIST HOSPITAL",360348,"7500 HOSPITAL AVENUE","DUBLIN","OH",43016,"7500 HOSPITAL AVENUE, DUBLIN, OH, 43016, USA",-86.801871,33.506161
"ALLIANCEHEALTH WOODWARD",370002,"900 17TH STREET","WOODWARD","OK",73801,"900 17TH STREET, WOODWARD, OK, 73801, USA",-86.801871,33.506161
"HILLCREST HOSPITAL PRYOR",370015,"111 NORTH BAILEY STREET","PRYOR","OK",74361,"111 NORTH BAILEY STREET, PRYOR, OK, 74361, USA",-86.801871,33.506161
"MUSCOGEE (CREEK) NATION MEDICAL CENTER",370057,"1401 MORRIS DRIVE","OKMULGEE","OK",74447,"1401 MORRIS DRIVE, OKMULGEE, OK, 74447, USA",-86.801871,33.506161
"HILLCREST HOSPITAL CUSHING",370099,"1027 EAST CHERRY STREET","CUSHING","OK",74023,"1027 EAST CHERRY STREET, CUSHING, OK, 74023, USA",-86.801871,33.506161
"CHOCTAW MEMORIAL HOSPITAL",370100,"1405 EAST KIRK ROAD","HUGO","OK",74743,"1405 EAST KIRK ROAD, HUGO, OK, 74743, USA",-86.801871,33.506161
"ELKVIEW GENERAL HOSPITAL",370153,"429 WEST ELM STREET","HOBART","OK",73651,"429 WEST ELM STREET, HOBART, OK, 73651, USA",-86.801871,33.506161
"PAULS VALLEY HOSPITAL AUTHORITY",370156,"100 VALLEY DRIVE","PAULS VALLEY","OK",73075,"100 VALLEY DRIVE, PAULS VALLEY, OK, 73075, USA",-86.801871,33.506161
"ST JOHN BROKEN ARROW, INC",370235,"1000 WEST BOISE CIRCLE","BROKEN ARROW","OK",74012,"1000 WEST BOISE CIRCLE, BROKEN ARROW, OK, 74012, USA",-86.801871,33.506161
"LANCASTER REGIONAL MEDICAL CENTER",390061,"250 COLLEGE AVENUE","LANCASTER","PA",17604,"250 COLLEGE AVENUE, LANCASTER, PA, 17604, USA",-86.801871,33.506161
"LOCK HAVEN HOSPITAL",390071,"24 CREE DRIVE","LOCK HAVEN","PA",17745,"24 CREE DRIVE, LOCK HAVEN, PA, 17745, USA",-86.801871,33.506161
"SUNBURY COMMUNITY HOSPITAL",390084,"350 NORTH 11TH STREET","SUNBURY","PA",17801,"350 NORTH 11TH STREET, SUNBURY, PA, 17801, USA",-86.801871,33.506161
"WASHINGTON HEALTH SYSTEM GREENE",390150,"350 BONAR AVENUE","WAYNESBURG","PA",15370,"350 BONAR AVENUE, WAYNESBURG, PA, 15370, USA",-86.801871,33.506161
"OHIO VALLEY GENERAL HOSPITAL",390157,"25 HECKEL ROAD","MCKEES ROCKS","PA",15136,"25 HECKEL ROAD, MCKEES ROCKS, PA, 15136, USA",-86.801871,33.506161
"MILLCREEK COMMUNITY HOSPITAL",390198,"5515 PEACH STREET","ERIE","PA",16509,"5515 PEACH STREET, ERIE, PA, 16509, USA",-86.801871,33.506161
"GHS HILLCREST MEMORIAL HOSPITAL",420037,"729 SOUTH EAST MAIN STREET","SIMPSONVILLE","SC",29681,"729 SOUTH EAST MAIN STREET, SIMPSONVILLE, SC, 29681, USA",-86.801871,33.506161
"SANFORD ABERDEEN MEDICAL CENTER",430097,"2905 3RD AVE SE","ABERDEEN","SD",57402,"2905 3RD AVE SE, ABERDEEN, SD, 57402, USA",-86.801871,33.506161
"UNICOI COUNTY MEMORIAL HOSPITAL",440001,"GREENWAY CIRCLE","ERWIN","TN",37650,"GREENWAY CIRCLE, ERWIN, TN, 37650, USA",-86.801871,33.506161
"HENDERSON COUNTY COMMUNITY HOSPITAL",440008,"200 W CHURCH ST","LEXINGTON","TN",38351,"200 W CHURCH ST, LEXINGTON, TN, 38351, USA",-86.801871,33.506161
"MILAN GENERAL HOSPITAL",440060,"4039 HIGHLAND ST","MILAN","TN",38358,"4039 HIGHLAND ST, MILAN, TN, 38358, USA",-86.801871,33.506161
"LAKEWAY REGIONAL HOSPITAL",440067,"726 MCFARLAND ST","MORRISTOWN","TN",37814,"726 MCFARLAND ST, MORRISTOWN, TN, 37814, USA",-86.801871,33.506161
